,CityName,City_id,Country,Latitude,Max_Temperature,Humidity,Cloudiness,WindSpeed
0,Puerto Ayora,3652764,EC,-0.74,77.0,61,0,19.46
1,Sioux Lookout,6148373,CA,50.1,77.0,47,75,8.05
2,Crotone,2524881,IT,39.09,77.12,50,0,4.23
3,Patiya,1185148,BD,22.3,84.5,79,100,10.29
4,Provideniya,4031574,RU,64.42,46.4,93,75,6.71
5,Mahibadhoo,1337605,MV,3.78,83.78,68,95,6.85
6,Cape Town,3369157,ZA,-33.93,55.99,93,20,8.05
7,Dudinka,1507116,RU,69.41,68.0,56,0,6.71
8,Aklavik,5882953,CA,68.22,73.4,40,75,11.41
9,Opotiki,2208332,NZ,-38.01,62.01,99,100,11.01
10,Jamestown,3370903,SH,-15.94,69.56,75,100,22.5
11,Unai,3445764,BR,-16.36,71.9,36,12,5.23
12,Lexington,4297983,US,38.05,75.2,94,40,8.99
13,Hobart,2163355,AU,-42.88,41.0,86,20,4.7
14,Hirtshals,2620279,DK,57.59,53.01,79,0,5.01
15,Acajutla,3587498,SV,13.59,85.04,66,0,2.53
16,Kapaa,5848280,US,22.08,84.2,70,1,9.17
17,Talnakh,1490256,RU,69.49,68.0,56,0,6.71
18,Baijiantan,1529626,CN,45.63,73.34,36,18,31.68
19,Storforshei,3145614,NO,66.4,37.0,92,52,1.99
20,San Patricio,3985168,MX,19.22,89.6,66,20,18.34
21,Port Elizabeth,964420,ZA,-33.92,53.6,87,0,2.24
22,Luderitz,3355672,NA,-26.65,53.6,87,0,2.24
23,Mabaruma,3377301,GY,8.2,74.06,99,100,2.48
24,Port Alfred,964432,ZA,-33.59,57.0,89,0,3.0
25,Vaini,4032243,TO,-21.2,75.2,83,75,17.22
26,Albany,2077963,AU,-35.02,60.8,44,100,17.22
27,Alice Springs,2077895,AU,-23.7,39.2,51,0,8.05
28,Ushuaia,3833367,AR,-54.81,24.8,92,0,10.29
29,Broome,2075720,AU,-17.97,57.2,87,0,17.45
30,Sorland,3137469,NO,67.67,48.14,79,52,22.57
31,Sovetskaya Gavan,2121052,RU,48.97,62.0,68,46,5.12
32,Busselton,2075265,AU,-33.64,63.0,35,100,31.76
33,Bathsheba,3374083,BB,13.22,84.2,66,40,21.92
34,Povolzhskiy,867006,RU,53.59,62.6,67,0,4.47
35,Narsaq,3421719,GL,60.91,57.2,44,0,8.05
36,Grand Forks,5059429,US,47.91,80.6,54,75,6.6
37,Bethel,5880568,US,60.79,55.4,93,90,20.8
38,Fortuna,5563839,US,40.6,64.4,72,20,16.11
39,Saskylakh,2017155,RU,71.97,54.62,66,87,6.85
40,Skegness,2637762,GB,53.14,55.0,81,0,3.36
41,Murakami,1856434,JP,38.29,69.8,100,75,4.7
42,Hasaki,2112802,JP,35.73,75.2,94,90,6.93
43,Mayor Pablo Lagerenza,3867427,PY,-19.93,62.18,64,100,7.76
44,Arraial do Cabo,3471451,BR,-22.97,73.4,69,0,5.82
45,Kondinskoye,1502697,RU,59.65,58.22,92,85,10.83
46,Avarua,4035715,CK,-21.21,69.8,73,44,18.34
47,Thompson,6165406,CA,55.74,60.8,51,75,21.92
48,New Norfolk,2155415,AU,-42.78,41.0,86,20,4.7
49,Camacha,2270385,PT,33.08,69.8,77,75,10.29
50,Mar del Plata,3863379,AR,-46.43,29.6,73,13,5.93
51,Punta Arenas,3874787,CL,-53.16,32.0,81,75,8.05
52,Rabo de Peixe,3372745,PT,37.8,68.0,82,20,6.93
53,Hermanus,3366880,ZA,-34.42,55.99,88,0,19.13
54,Chuy,3443061,UY,-33.69,44.36,71,21,17.56
55,Bluff,2206939,NZ,-46.6,46.0,83,82,5.99
56,La Ronge,6050066,CA,55.1,60.8,48,75,13.87
57,Lagoa,2267254,PT,37.14,66.2,72,0,11.41
58,Hilo,5855927,US,19.71,84.2,58,40,11.41
59,Rikitea,4030556,PF,-23.12,65.42,80,100,22.28
60,Kawalu,1640902,ID,-7.38,69.2,91,50,1.7
61,Hofn,2630299,IS,64.25,40.58,96,100,1.74
